"pattern","occurences_count","files_count","repos_count"
"uuuu-MM-dd'T'HH:mm:ssX","5","4","3"
"uuuuMMddHHmmss","5","4","4"
"HH:mm:ss yyyy-MM-dd","5","4","3"
"YYYY-MM","5","4","2"
"dd-MM-yyyy HH:mm:ss.SSSSSS","5","4","1"
"d/MM/YY","5","4","1"
"dd-MM-yyyy hh:mm a","5","4","2"
"EEEE dd","5","4","3"
"yyyyMMdd'_'HHmmss.SSS","5","4","5"
"yyyy-MM-dd, HH:mm","5","4","3"
"EEE d MMM, h:mm a","5","4","1"
"uuuu-MM-dd HH:mm:ss.SSSSSSSSS","5","4","4"
"yyyyMMdd_HHmmssSSS","5","4","3"
"ddMM","5","4","3"
"EEE MMM d yyyy","5","4","3"
"HH:mm:ss.SSS ","5","4","3"
"HHmmssSSS","5","4","3"
"dd/MM/yyyy, E","5","4","5"
"dd/MM/yyyy hh:mm","4","4","3"
"[Z][VV][x][xx][xxx]","4","4","3"
"MMMM d, uuuu","4","4","4"
"YYY-MM-dd HH:mm:ss","4","4","2"
"EEE, dd MMM yyyy HH:mm:ss' GMT'","4","4","1"
"dd. MM | HH:mm:ss.SSS","4","4","2"
"yyyy-MM-dd'T'HH:mm:ss[.SSS][xxx][xx][X]","4","4","1"
"EE d MMMM","4","4","1"
"yyyy-MMMM-dd","4","4","4"
"yyyy年MM月dd日 HH:mm:ss E","4","4","4"
"M/d/yyyy h:mm a","4","4","3"
"MM-dd HH:mm:ss.SSS","4","4","3"
"dd-MMM-yy hh:mm:ss","4","4","3"
"MMddHHmmss","4","4","4"
"dd, MMM yyyy","4","4","4"
"yyyy/MM/dd, hh:mm a","4","4","1"
".SSSSSS","4","4","3"
"'TIME '''HH:mm:ss.SSS''","4","4","3"
"yyyy-MM-dd_HH_mm_ss","4","4","4"
"uuuu-MM-dd'T'HH:mm","4","4","4"
"yyyy/MM/dd HH:mm:ss Z","4","4","4"
"yyyy-MM-dd HH.mm.ss","4","4","4"
"dd MM yyyy HH:mm:ss.SSS","4","4","1"
"yyyyMMdd00","4","4","2"
"/yyyy/MM/dd/","4","4","3"
"MM/dd/yyyy H:m:ss","4","4","3"
"yy-MM-dd HH:mm:ss","4","4","2"
"MMMM dd, yyyy HH:mm","4","4","2"
"MMM dd HH:mm","4","4","3"
"${dateF.toPattern()} ${timeF.toPattern()}","4","4","4"
"yyMMddHHmm","4","4","4"
"yyyy-MM-dd_HHmmssSSS","4","4","1"
":mm","4","4","2"
"H m","4","4","1"
"yyyy년 MM월","4","4","3"
"yyyy-MM-dd'T'HH:mmXXX","4","4","2"
"'T'HH:mm:ss","4","4","4"
"yyyyMMdd_HH_mm_ss","4","4","4"
"MM/dd/yyyy HH:mm a","4","4","4"
"uuuuMM","4","4","3"
"yyyy-M","4","4","4"
"D","4","4","3"
" HH:mm","4","4","3"
"d MMM yyyy HH:mm","4","4","4"
"HH:mm:ss dd.MM.yyyy","4","4","3"
"yyyy-MM-dd HH:mm:ss.0","4","4","2"
"dd.MM.YY","4","4","4"
"dd, yyyy","4","4","1"
"MMdd HH:mm:ss.SSS","4","4","2"
"dd/MM/yyyy HH:mm:ss.SSS","4","4","4"
"EEE, d LLL yyyy","4","4","4"
"yyyy/MM/dd/ HH:mm:ss","4","4","3"
"h.mm a","4","4","3"
"LLL dd","4","4","4"
"M월 d일","4","4","2"
"EEEE, LLLL d, Y","4","4","1"
"yy/M/dd HH:mm:ss","4","4","2"
"yyyy-MM-dd ","4","4","3"
"M/d/","4","4","2"
"yyyy-MM-dd'T'HH:mm:ss[.SSS]","4","4","4"
"MMMM, yyyy","4","4","4"
"yyyy/MM/dd hh:mm:ss a","4","4","1"
"ddMMyyyyHHmmss","4","4","3"
"yy/MM/dd HH:mm","4","4","2"
"MM/dd/yy HH:mm:ss z","4","4","1"
"M/dd/yyyy","4","4","4"
"EEEE HH:mm","4","4","2"
"MM/dd/yyyy - HH:mm:ss","4","4","2"
"[HH:mm:ss,SSS]","4","4","2"
"MM月","4","4","1"
"dd/MM HH:mm","4","4","1"
"HH:mm:ss.SSSZ","4","4","4"
"MMM dd HH:mm:ss","4","4","4"
"dd/MM/yyyy - HH:mm:ss","4","4","4"
"yyyy年MM月dd日HH时","4","4","3"
"m мин.","4","4","1"
"YYYY-ww","4","4","3"
"yyyy_MM_dd HH_mm_ss","4","4","2"
"yy.MM.dd HH:mm","4","4","2"
"EEE, MMM dd, yyyy - h:mm a","4","4","4"
"dd.MM.yyyy hh:mm:ss","4","4","4"
"dd.MM HH:mm","4","4","4"
"HH.mm.ss","4","4","3"
"yyyy_MM_dd-HH_mm_ss","4","4","4"
"MM/dd/uuuu HH:mm:ss.nnnnnnnnn","4","4","1"
"dd MMM uuuu HH:mm:ss.S","4","4","2"
"yyyy-MM-dd-HH.mm.ss.SS","4","4","2"
"EE dd.MM.yyyy HH:mm","4","4","1"
"MM/dd/uuuu HH:mm:ss","4","4","2"
"E, MMMM d, yyyy G","4","4","1"
"uuuuMMddHHmmss[,S][.S]X","4","4","2"
"yy/MMM/dd","4","4","1"
"yyyy-MM-dd['T'HH:mm:ss['.'SSS]['Z']]","4","4","1"
"EEE MMM dd HH:mm:ss z yyyy","4","4","4"
"zzz uuuu-MM-dd HH:mm:ss","4","4","4"
"yyyy-MM-dd hh:mm:ss a","4","4","2"
"HH:mm dd/MM/yy","4","4","3"
"E, MMMM d, yyyy","4","4","1"
"MMM uuuu","4","4","4"
"EEE, dd MMM yyyy HH:mm:ss","4","4","4"
"yyyy-MM-dd hh-a","4","4","1"
"MMMM dd yyyy @ HH:mm:ss 'UTC'","4","4","1"
"yyyy年MM月dd日HH时mm分","4","4","3"
"YYYY-MM-dd HH:mm:ss.SSSSSS","4","4","4"
"YYYYMMddHHmm","4","4","3"
"dd.MM.yyyy - HH:mm:ss","4","4","3"
"d MMM yy","4","4","3"
"dd MMM yy","4","4","4"
"XXXXX","4","4","2"
"yyyy-MM-dd HH:mm[XXX]","218","3","109"
"yyyy-MM-dd[ HH:mm[XXX]]","109","3","109"
"VVV","109","3","109"
"VVVV","109","3","109"
"V","109","3","109"
"VVVVV","109","3","109"
"'ONE'yyyy MM dd","109","3","109"
"yyyyAA","77","3","77"
"yyyyDDHHmmss","77","3","77"
"GGGG G GGGGG","73","3","73"
"yyyy-MM-dd_HH-mm-ss.SSS","64","3","62"
"B","37","3","37"
"EEE, MMM d, h:mm ","15","3","15"
"eee","13","3","13"
"dd/mm/yy","10","3","2"
"dd-HH-mm-ss-SSS","10","3","1"
"E yyyy-MM-dd HH:mm","9","3","7"
"QQQ yyyy","9","3","1"
"yyyy-MM-dd HH:mm:ssxx","9","3","7"
"uuuu-MM[-dd]","9","3","3"
"uuuuDDD","9","3","2"
"dd/MM/YY","8","3","3"
"HH:mm MM/dd/yyyy","7","3","5"
"dd/MM/uu","7","3","2"
"yyyy-MM-dd'T'00:00:00'Z'","7","3","3"
"M월","7","3","4"
"uuuu-MM-dd'T'HH:mm:ss.S","6","3","2"
"yyyy-MM-dd'T'00:00:00","6","3","3"
"HH-mm-ss-nnnnnnnnn","6","3","1"
"y-MM-dd[ G]","6","3","2"
"yyyy-MM-dd'T'HH:mm:ss.SSSZZZZZ","6","3","3"
"u M","6","3","3"
"u M d","6","3","3"
"dd LLL","6","3","4"
"yyy-MM-dd HH:mm","6","3","2"
"ddMMMyy-HHmmss","6","3","2"
"'perf'-MM-dd-HH-mm-ss'.data'","6","3","4"
"dd MM yyyy HH mm ss","5","3","5"
"dd,MMM yyyy","5","3","1"
"dd.MM.yyyy. hh:mm:ss a","5","3","1"
"yyyy-MM-dd EEEE","5","3","5"
"yyyy MM dd hh mm ss a","5","3","5"
"yyyy-MM-dd HH:mm:ss x","5","3","2"
"E, MMM d","5","3","3"
"dd-MM-yyyy_HH-mm-ss","5","3","5"
"H:mm[:ss]","5","3","4"
"E MMMM d yyyy","5","3","4"
"yyyyMMdd HH:mm:ss.SSS","5","3","3"
"yyyy-MM-ddTHH:mm:ss","5","3","3"
"d.M.yyyy H.m","5","3","1"
"dd-MM-yyyyHH:mm:ss","5","3","2"
"MMM, dd","5","3","4"
"yyyy/MM/dd HH:mm:ss VV","5","3","1"
"yyMMdd-HHmmss","4","3","3"
"MMM-dd-yyyy","4","3","4"
"dd MMM, yyyy HH:mm","4","3","1"
"yyyy-MM-dd, HH:mm:ss z","4","3","4"
"yyyyMMdd'T'HHmmss.SSSZ","4","3","4"
"yyyy-MM-ddTHH:mm:ssZ","4","3","2"
"Y-w-e","4","3","2"
"yyyy-MM-dd H:m:s z","4","3","3"
"Gy\u5e74M\u6708d\u65e5","4","3","1"
"GGGy\u5e74M\u6708d\u65e5","4","3","1"
"d-M-y","4","3","3"
"MMMM d, yyyy h:mm a","4","3","3"
"GGGGy\u5e74M\u6708d\u65e5","4","3","1"
"m","4","3","2"
"GGGGGy\u5e74M\u6708d\u65e5","4","3","1"
"MMM d yyyy  hh:mm a","4","3","4"
"MMMMddyyyyHHmmss","4","3","2"
"dd.MM.yyyy HH.mm","4","3","3"
"yyyy-MM-dd hh:mm:ss.S","4","3","1"
"MM/dd/uu","4","3","4"
"GGy\u5e74M\u6708d\u65e5","4","3","1"
"GGGGGyy\u5e74MM\u6708dd\u65e5","4","3","1"
"MM/dd/yyyy HH:mm:ss z","4","3","3"
"dd_MM_yyyy_HH_mm_ss","4","3","3"
"HH:MM","4","3","2"
"ss:SSS","4","3","3"
"yyyy-MM-dd'T'HH:mm:ss+00:00","4","3","4"
"zzz","4","3","3"
"dd LLL yyyy","4","3","4"
"yyyy-MM-dd'T'HH:mm:ss.SSSS'Z'","4","3","3"
"ddMMYY","4","3","1"
"yyyy-MM-dd HH_mm_ss","3","3","2"
"ddMMMyyyy HH:mm","3","3","1"
"MMM d, y","3","3","3"
"d.M.yyyy HH:mm","3","3","3"
"YYYY'W'wwe","3","3","3"
"MMM dd, yyyy h:mm a","3","3","3"
"ddMMM","3","3","1"
"EEE MMM dd yyyy","3","3","2"
"MMM dd yyyy Q G","3","3","1"
"uuuu-MM-dd'T'HH:mm:ss.SSSSSS","3","3","2"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSSSSZ","3","3","1"
"[E, ]d MMM y HH:mm:ss z","3","3","1"
"uuuu-MM-dd-HH-mm-ss","3","3","3"
"d/M/Y H:mm","3","3","2"
"E MMM d HH:mm:ss z yyyy","3","3","2"
"MMM ppd  yyyy","3","3","3"
"yyyyMMdd hh:mm:ss","3","3","2"
"d/MMM/yyyy:HH:mm:ss z","3","3","1"
"dd/MMMM/yyyy","3","3","3"
"yyyyMMdd_HH'00'","3","3","1"
"yyyy-M-d H:m:s","3","3","3"
"GGGGGyyyy\u5e74MMMM","3","3","1"
"yyyy/MM/dd HH:mm:ss +0000","3","3","1"
"yyyy-MM-dd hh:mma","3","3","1"
"EEE, d MMM yyyy HH:mm:ss Z","3","3","3"
"dd/MM/yyyy kk:mm","3","3","3"
"d MMM HH:mm","3","3","3"
"yyyy-DDD'T'HH:mm:ss","3","3","3"
"d. MMM y","3","3","1"
"dd/MM/yyyy - HH:mm","3","3","3"
"M-dd-yyyy","3","3","1"
"yyyy-MM-dd[['T'][ ]HH:mm:ss.SSS[ ][XXXXX][XXXX]]","3","3","2"
"E, MMM dd yyyy h:mm a","3","3","1"
"yyyy-MM-dd'T'HH:mm[Z]","3","3","1"
"YYYY-MM-DD","3","3","3"
"MM-dd-HH%mm%ss","3","3","3"
"d. MMMM y","3","3","1"
"y-M-d H:m:s","3","3","3"
"yyyy-MM-dd'T'HH.mm.ss'Z'","3","3","3"
"E, dd MMM yyyy","3","3","3"
"HH:mm dd MMMM yyyy","3","3","1"
"yyyy-MM-dd'T'HH:mm:ss.nnnnnnnnnX","3","3","2"
"E, dd MMM","3","3","3"
"民國 yyy 年 MM 月 dd 日 EE","3","3","3"
"YYYY'W'wwe'T'HHmmss","3","3","3"
"HH:mm:ss EEE MMM dd yyyy","3","3","1"
"dd MMMM y, HH:mm:ss","3","3","1"
"yyyy-MM-dd'_'HH-mm-ss_SSS","3","3","2"
"dd/MM/yyyy - hh:mm","3","3","2"
"yyyyMMdd HH:mm","3","3","2"
"EEE, d MMM yyyy HH:mm:ss Z (z)","3","3","1"
"MM/dd/yyyy hh:mma","3","3","1"
"uuMMdd","3","3","2"
"yy/mm/dd","3","3","2"
"H ч. m мин.","3","3","1"
"YYY-MM-dd_HH_mm_ss","3","3","1"
"MM-dd-yyyy HH:mm","3","3","3"
"EEE, MMMM d","3","3","2"
"d.M.uu","3","3","1"
"dd/MM/YYYY HH:mm:ss","3","3","3"
"yyyy-MM-dd'T'HH:mm:ssZZ","3","3","2"
"HH:mm:ss.SSSSSSSSSXXX","3","3","3"
"yyyy-MM-dd HH:mm:ss.SSSZZZZZ","3","3","2"
"yyMMddHHmmssSSS","3","3","3"
" a","3","3","1"
"dd MMM, HH:mm","3","3","1"
"MMMM - yyyy","3","3","1"
"MMM d'th,' yyyy","3","3","2"
"yyyy.MM.dd HH:mm:ss z","3","3","2"
"''yyyy-MM-dd HH:mm:ss.SSS''","3","3","3"
"u M d H m s XXX","3","3","3"
"yyyy-MM-dd' 'HH:mm:ss","3","3","3"
"uuuu-MM-dd HH:mm:ss z","3","3","2"
"yyyy_MM_dd_HH_mm_ss_SSS","3","3","3"
"yyyyDDD'T'HHmmss","3","3","3"
"M/dd/yyyy h:mm a","3","3","1"
"yyyy-MM-dd['T'][ ]HH:mm:ss[.SSS][XXX]","3","3","1"
"h:mm:s a","3","3","3"
"h:mm a, EEEE, MMMM d, yyyy","3","3","2"
"yyyyDDDHHmmss.S","3","3","1"
"A","3","3","2"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSS'Z'","3","3","2"
"[yyyyMMdd][yyyy-MM-dd][yyyy-DDD]['T'[HHmmss][HHmm][HH:mm:ss][HH:mm][.SSSSSSSSS][.SSSSSS][.SSS][.SS][.S]][OOOO][O][z][XXXXX][XXXX]['['VV']']","3","3","2"
"yyyy-MM-dd HH:mm:ss.SSSSSSS","3","3","2"
"MM/dd/yyyy hh:mm a, z","3","3","2"
"YYYY-'W'ww","3","3","3"
"yyyy-MM-dd_HH_mm","3","3","2"
"dd.MM.yyyy. HH:mm","3","3","2"
"uu-M","3","3","3"
"[[HH][:mm][:ss][.SSSSSSS]]","3","3","1"
"EEE, dd MMM yyyy HH:mm:ss 'GMT' ","3","3","3"
"MMMM dd, yyyy, hh:mm","3","3","3"
"E, MMM dd yyyy","3","3","1"
"dd.MM.uuuu mm:kk","3","3","2"
"dd-MM-yyyy-HH-mm-ss-SSS","3","3","2"
"yyyy-MM-dd'T'HH:mm:ss[.SSS]'Z'","3","3","3"
"H:mm:ss.SSS","3","3","2"
"yyyyMMddHHmmssSS","3","3","3"
"yyyy-MM-dd--HH-mm","3","3","3"
"ddMMyyyy'_'hhmmss","3","3","2"
"yyyy MMMM","3","3","3"
"GGGGGyyyyy\u5e74MMMMM\u6708","3","3","1"
"u M d H m s VV","3","3","3"
"dd/MM/yyyy h.mm a","3","3","1"
"YYYY-'W'ww-e'T'HH:mm:ss","3","3","3"
"d. MMM. y","3","3","1"
"MMM ppd HH:mm","3","3","3"
"yyyyMMdd-HHmmss-SSS","3","3","2"
"yyyy-MM-dd'T'HH:mm:ssXXXXX","3","3","2"
"yyyy-MM-dd H:m:s","3","3","3"
"MM:ss","3","3","2"
"EEEE, dd MMMM YYYY","3","3","1"
"EEE MMM d  h:mm a","3","3","1"
"EEE, dd MMM yyyy HH:mm:ss OOOO","3","3","1"
"dd.MM.yy hh:mm","3","3","2"
"d LLL","3","3","1"
"yyyy-MM-dd[['T'][ ]HH:mm:ss[.SSS][ ][XXX][X]]","3","3","2"
"MM-yyyy-dd","3","3","3"
"uuuu-DDD'T'HH:mm:ss","3","3","1"
"dd/MM - HH:mm","3","3","1"
"yyyy-MM-dd HH:mm:ss[.SSS]","3","3","2"
"ccc dd-MMMM-yyyy","3","3","2"
"yyyy-MM-dd HH:mm:ss.SSSSSSSS","3","3","2"
"uuuu[-MM[-dd]]['T'HH[:mm[:ss[.SSSSSSSSS][.SSSSSSSS][.SSSSSSS][.SSSSSS][.SSSSS][.SSSS][.SSS][.SS][.S]]]][XXX]","3","3","2"
"yyyy-MM-dd kk:mm:ss","3","3","3"
"MM/dd/yyyy HH:mm:ss:S","3","3","2"
"d/M/u","3","3","1"
"EEE MMM dd, yyyy","3","3","2"
"MM/dd/yyyy hh:mm:ssa","3","3","1"
"dd-MMM-yy hh.mm.ss","3","3","1"
"yyyy,MM,dd","3","3","2"
"uuuu-MM-dd'T'HH","3","3","3"
"yyyy-MM-dd HH:mm:ss.SSSSS","3","3","2"
"dd/LL/yy","3","3","1"
"uuuu-MM-dd'T'HH:mm:ss.SSSSSSSSS","3","3","3"
"HH:mm:ss:SS","3","3","2"
"dd/MMMM/yyyy HH:mm:ss","3","3","1"
"dd MMM, YYYY","3","3","2"
"YY.MM.dd","3","3","2"
"uuuu/MM/dd 'at' hh:mm:ss","3","3","1"
"yyyy-MM-dd'T'HH:mm:ssSX","3","3","2"
"a HH:mm","3","3","1"
"MMM ppd HH:mm:ss yyyy z","3","3","1"
"yyyy-MM-dd-HH:mm:ss.SSS","3","3","3"
"dd-MM-yyyy/HH:mm:ss","3","3","1"
"yyyy-MM-dd HH:mm:ss 'UTC'","3","3","3"
", yyyy","3","3","2"
"yyyy-MM-dd HH:mm:ss.SSSSSSSSS Z","3","3","2"
"EEEE dd MMMM yyyy","3","3","2"
"yyyy-MM-dd HH:mm a","3","3","2"
"[X][Z]","3","3","1"
"yyyyMMdd'T'HHmm","3","3","2"
"yyyy-MM-dd HH:mm:ss.nnnnnn","3","3","2"
"yyyy-MM-dd'T'HH:mm:ss.SS'Z'","3","3","3"
"MM/d/yyyy","3","3","2"
"EEEE, MMMM d, y","3","3","3"
"'TIMESTAMP '''yyyy-MM-dd HH:mm:ss.SSS''","3","3","3"
"yyyy-MM-dd H:mm:ss","3","3","1"
"yyyy.MM.dd HH.mm.ss","3","3","2"
"MMdd-HHmmss","3","3","1"
"ddMMMyyyy","3","3","2"
"YYYYMMdd-HHmmss","3","3","3"
"MMM d, Y","3","3","1"
"HH:mm:ss,   MMMM d  uuuu ","3","3","1"
"на MM.yyyy","3","3","1"
"dd-MM-yyyy. HH:mm","3","3","1"
"MM/dd/yyyy/S","3","3","2"
"dd MMMM, EEEE","3","3","3"
"H:m:ss.SSS","3","3","1"
"dd-M-yyyyHH:mm:ss","3","3","1"
"yyyy-MM-dd_HH:mm:ss.SSS","3","3","1"
"'T'HHmmss","3","3","3"
"d-MMM","3","3","2"
"dd-MM-yyyy | HH:mm","3","3","3"
"MM/dd/yyyy h:mm:ss a","3","3","3"
"yyyy-MM-dd'T'HH:'Z'","3","3","1"
"d.M.y","3","3","1"
"yyyy-MMM-dd HH:mm:ss.SSS","3","3","3"
"yyyy-MM-dd'Z'","3","3","2"
"XX","3","3","3"
"'ONE'uuuu MM dd","3","3","3"
"yyyy_MM_dd_HH_mm_ssz","3","3","1"
"y-MM-dd","3","3","2"
"EEEE, d'$ordinal' MMMM","3","3","1"
" GG","3","3","1"
"EEEE MMMM d, yyyy","3","3","3"
"YYYY-MM-dd hh:mm:ss","3","3","3"
"dd.MMM.yyyy","3","3","2"
"HH:mm:ss MM/dd/yyyy","3","3","3"
"yyyyMMddHHmmssZ","3","3","3"
"yyyy-MM-dd HH:mm:ss.SSSSSSSSSXXX","3","3","3"
"dd-MMM-yyyy HH:mm:ss.nnn","3","3","1"
"[GGG ]yyy-MM-dd","77","2","77"
"yyyy MM dd GGGG","74","2","74"
"yyyy MM dd GGGG G GGGGG","47","2","47"
"yyyy-MM-dd HH:mm ZZZ","30","2","3"
"MMMM d yyyy HH:mm","26","2","1"
"HH:mm:ss.SSS (yyyy-MM-dd)","21","2","21"
"GGGG","15","2","15"
"M/d/YYYY","12","2","1"
"yyyy,MM,dd,HH,mm","11","2","2"
"d/M/yy HH:mm","11","2","2"
"HH:mm:ss.SSS (YYYY-MM-dd)","11","2","11"
"yyyy/MM/dd/ HH:mm","11","2","2"
"yyyy-MM-dd[ HH:mm:ss[.SSS]][ zzz]","9","2","2"
"dd.MM.yyyy_HH:mm:ss.SSSS","7","2","1"
"yyyy-MM-dd HH:mm:ss (z, 'UTC' Z)","6","2","2"
"MMM/dd/yyyy","6","2","3"
"yyyyMMdd0000","6","2","1"
"MMM-dd-yy","6","2","3"
"yyyy-MM-dd HH:mm:ss_SSS","6","2","1"
"dd/MM/yyyy HH","6","2","2"
"yyyy-MM-dd HH:mm:ss.SSS'Z'","5","2","2"
"MMM d, yyyy h:mm:ss a","5","2","4"
"yyyy-MM-dd+HH:mm","5","2","2"
"dd'-'MM'-'uuuu '@' HH':'mmX","5","2","1"
"EEE, MMMM dd, yyyy","5","2","1"
"hh mm ss a","5","2","5"
"YYYY-mm-dd","4","2","1"
"'DATE '''uuuu-MM-dd''","4","2","3"
"MMM dd, yyyy h:mm a (EEEE)","4","2","1"
"EEEE, dd MMM yyyy, h:mm a","4","2","1"
"y-M-d HH:mm:ss","4","2","1"
"EEEE\\, MMMM dd\\, yyyy","4","2","2"
"M月d日 H時m分s秒","4","2","2"
"yyyy-LL-dd","4","2","4"
"[yyyyDDD]","4","2","1"
"ccc., dd. MMM.","4","2","2"
"yyyy.MM.dd-hh:mm:ss.S a z","4","2","1"
"d/M/y H:mm","4","2","1"
"yyyy-MM-dd HH:mm:ss ZZZZZ","4","2","1"
"d/M/yyyy h:m a","4","2","1"
"yy/MMM/dd HH:mm","4","2","1"
"MMddyy","4","2","2"
"dd MMM yyyy, h:mm a (EEEE)","4","2","1"
"d MMMM yyyy HH:mm:ss z ","4","2","1"
"EEE dd MMM yyyy HH:mm:ss","4","2","1"
"dd MMMM, yyyy ","4","2","1"
"MMM dd, yyyy HH:mm (EEEE)","4","2","1"
"dd/MM/yyy HH:mm:ss","4","2","3"
"dd MMM yyyy, HH:mm (EEEE)","4","2","1"
"yy MM dd HH","4","2","1"
"yyyy-MM-dd_HH-mm-ss_","4","2","4"
"[[YYYY]'W'wwe]","4","2","1"
"HH_mm_ss_SSS","4","2","2"
"uuuu-MM-dd HH:mm:ss.SSS XXXX","4","2","1"
"yyyy-MM-dd HH:mm.SSS","4","2","1"
"''HH:mm:ss.SSSSSS''","4","2","2"
"MMM:d:yyyy","4","2","2"
"dd/MM/yyyy/HH:mm","4","2","2"
"yyyy-MM-dd HH:mm:ss.SSSxxxx '['VV']'","4","2","1"
"YYYY-MM-dd-HH-mm-ss-SSS'.profile'","4","2","4"
"''yyyy-MM-dd HH:mm:ss.SSSSSS''","4","2","2"
"MMM~dd~yyyy","4","2","2"
"dd/MM/uuuu hh:mm:ss","3","2","1"
"s","3","2","3"
"MMM/d/yyyy","3","2","3"
"dd MMMM yy","3","2","3"
"yyyy-MM-dd HH:mm:ss.SSSSSSx","3","2","2"
"E, d MMMM","3","2","3"
"dd/MM/yyyy - hh:mm:ss.SSS","3","2","1"
"d.MM.yy","3","2","3"
"yyyy-MM-dd HH:mm:ss.SSS z","3","2","2"
"yyyy-MM-dd HH:mm:ss xxx","3","2","2"
"yyyy-MM-dd hh-mm-ss","3","2","2"
"yyyy/mm/dd","3","2","2"
"dd.MM.yy, HH:mm:ss","3","2","1"
"Mdkm","3","2","1"
"yyyy-MM-DD","3","2","2"
"MM월 dd일 HH시 mm분 ss초","3","2","1"
"dd MMM yyyy, HH:mm","3","2","2"
"d MMMM uuuu ","3","2","2"
"yyyy-DDD","3","2","3"
"yyyy'-'MM'-'dd'T'HH':'mm':'ss'.'SSS'Z'","3","2","1"
"MMM d yyyy, hh:mm:ss a Z","3","2","1"
"dd.MM.yy, HH:mm","3","2","3"
"d.M.uuuu","3","2","2"
"d.M.yyyy H:m","3","2","2"
"MMM.d-HH.mm","3","2","1"
"yyyy-MM-ddHH:mm:ss","3","2","2"
"KK:mm:ss a","3","2","2"
"EEE, MMM d, yyyy","3","2","2"
"d M y","3","2","2"
"yyy-MM-ddHHmmss","3","2","1"
"dd MMM yyyy hh.mm a","3","2","3"
"dd MMM yyyy, HH:mm:ss","3","2","3"
"E MMM d HH:mm:ss z uuuu","3","2","1"
"yyyy-MM-dd'T'HH:mm:ss,SSS","3","2","2"
"dd, MM yyyy","3","2","2"
"MM-dd-YYYY","3","2","3"
"MMMM ","3","2","2"
"MMM/dd/yy","3","2","3"
"EEE MMM dd HH:mm:ss yyyy","3","2","3"
"yyyy-MM-dd-HH-mm-ss-","3","2","1"
"MM-uuuu","3","2","1"
"dd/MMM/yyyy:HH:mm:ss","3","2","2"
"M.d.y","3","2","1"
"yyyyMMddHHmmssVV","3","2","2"
"dd-MM-yyyy HH:mm a","3","2","2"
"m'm' s's'","3","2","3"
"HHmmss.SSSZ","3","2","3"
"E d MMM","3","2","3"
"hh:mm:ss MM-dd-yyyy","3","2","1"
"hh : mm a","3","2","1"
"yyyyMMdd,HHmm","3","2","2"
"yyyy-MM-dd HH:mm:ss.SSS ZZZ","3","2","3"
"dd.M.yyyy","3","2","2"
"dd/MM hh:mm","3","2","2"
"yyyy-MM-dd HH:mm:ss [XXX]","3","2","1"
"dd MMM yyyy hh:mm a","3","2","2"
"dd/M/y H:m:ss","3","2","2"
"yymm","2","2","1"
"LLL d","2","2","2"
"EEE MMM ppd HH:mm:ss yyyy","2","2","1"
"yyyy:MM:dd:HH:mm:ss.SSS","2","2","1"
"MM.yy","2","2","1"
"MMMM dd, yyyy HH:mm:ss","2","2","2"
"a hh시 mm분 ss초","2","2","1"
"yyyy.MM.dd__HH.mm.ss","2","2","1"
"yyyy-MM-dd_HH-mm-ss_Z","2","2","1"
"YYYY-MM-dd'T'HH:mm:ss","2","2","2"
"yyyy MMM dd HH:mm","2","2","2"
"'+00000'yyyyMMdd","2","2","1"
"MM-dd'T'HH:mm:ss.SSS","2","2","1"
"'['uuuu-MM-dd HH:mm:ss.SSS']' ","2","2","2"
"dd. MM.","2","2","1"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSXXX","2","2","1"
"HH:mma","2","2","1"
"dd-MM HH:mm:ss","2","2","2"
"EE M/dd, hh:mm a","2","2","1"
"HH-mm","2","2","2"
"HH:mm:ss dd-MM-YYYY","2","2","1"
"yyyy-MM-dd hh:mm:ss a zzz","2","2","1"
"d/M/Y","2","2","1"
"yyyy-MM-dd - HH:mm:ss","2","2","2"
"M/d/YYYY h:mm a","2","2","1"
"yyyy/MM/dd    HH:mm:ss:SSSS","2","2","1"
"yyyy-MM-dd HH:mm:ssxxx","2","2","1"
"MMM_dd_yyyy_hh_mm_","2","2","1"
"EEEE, dd MMM","2","2","2"
"yyyy_MM_dd-HH.mm.ss","2","2","2"
"yyyyMMdd.HHmmss.SSS","2","2","1"
"uuuu-MM-dd HH:mm:ss Z","2","2","2"
"LLLL yyyy г.","2","2","2"
"E요일","2","2","1"
"dd/MM/yyyy' 'HH:mm:ss","2","2","1"
"['\t']['    ']['  '][' ']['\t']","2","2","1"
"EE, dd MMM, yyyy, hh:mm a z","2","2","1"
"dd MMM yyyy 'at' HH:mm (zzz)","2","2","1"
"yyyy.MM.dd (E)","2","2","2"
"LLL","2","2","2"
"MMMM dd, yyyy @ h:mm a","2","2","1"
"u-MM-d","2","2","2"
"e","2","2","2"
"uuuu-MM-dd HH:mm:ss.SSSZ","2","2","1"
"yyyy MMM","2","2","2"
"d. M. yyyy","2","2","2"
"yyyy-MM-dd HH:mm:ss.SSSXXX","2","2","2"
"yyyy-MM-dd - HH:mm:ss Z","2","2","1"
"MMMM dd, yyyy (EEEE)","2","2","1"
"d.M.uu H:m","2","2","1"
"MMM d, YYYY","2","2","2"
"uuuu.MM.dd","2","2","2"
